,CLOSE
2008-04-28,23100.0
2008-04-29,23100.0
2008-04-30,23000.0
2008-05-05,23250.0
2008-05-06,23450.0
2008-05-07,23700.0
2008-05-08,23650.0
2008-05-09,23650.0
2008-05-12,24150.0
2008-05-13,24750.0
2008-05-14,24550.0
2008-05-15,25000.0
2008-05-16,25350.0
2008-05-19,25100.0
2008-05-20,25200.0
2008-05-21,25250.0
2008-05-22,25250.0
2008-05-23,25100.0
2008-05-26,26400.0
2008-05-27,26800.0
2008-05-28,26400.0
2008-05-29,26450.0
2008-05-30,25950.0
2008-06-02,25950.0
2008-06-03,26000.0
2008-06-04,25900.0
2008-06-05,26000.0
2008-06-06,26400.0
2008-06-10,26500.0
2008-06-11,26950.0
2008-06-12,27400.0
2008-06-13,27100.0
2008-06-16,27400.0
2008-06-17,28000.0
2008-06-18,27850.0
2008-06-19,27750.0
2008-06-20,27450.0
2008-06-23,27900.0
2008-06-24,28050.0
2008-06-25,28000.0
2008-06-26,28050.0
2008-06-27,27900.0
2008-06-30,27900.0
2008-07-01,27850.0
2008-07-02,27950.0
2008-07-03,27900.0
2008-07-04,27600.0
2008-07-07,27300.0
2008-07-08,27550.0
2008-07-09,27450.0
2008-07-10,27350.0
2008-07-11,27450.0
2008-07-14,27750.0
2008-07-15,27600.0
2008-07-16,27100.0
2008-07-17,27150.0
2008-07-18,27150.0
2008-07-21,27400.0
2008-07-22,27450.0
2008-07-23,27100.0
2008-07-24,27200.0
2008-07-25,27300.0
2008-07-28,27400.0
2008-07-29,27650.0
2008-07-30,27400.0
2008-07-31,28000.0
2008-08-01,27700.0
2008-08-04,27450.0
2008-08-05,27100.0
2008-08-06,27100.0
2008-08-07,26250.0
2008-08-08,26900.0
2008-08-11,26650.0
2008-08-12,26250.0
2008-08-13,26650.0
2008-08-14,27000.0
2008-08-15,26600.0
2008-08-18,26700.0
2008-08-19,26250.0
2008-08-20,26350.0
2008-08-21,26650.0
2008-08-22,26700.0
2008-08-25,26700.0
2008-08-26,26950.0
2008-08-27,26950.0
2008-08-28,26700.0
2008-08-29,26600.0
2008-09-01,26600.0
2008-09-02,26600.0
2008-09-03,26600.0
2008-09-04,26600.0
2008-09-05,26600.0
2008-09-08,26600.0
2008-09-09,26600.0
2008-09-10,26600.0
2008-09-11,26600.0
2008-09-12,26600.0
2008-09-16,26600.0
2008-09-17,26600.0
2008-09-18,26600.0
2008-09-19,26600.0
2008-09-22,26600.0
2008-09-23,26600.0
2008-09-24,26600.0
2008-09-25,26600.0
2008-09-26,26600.0
2008-10-06,26600.0
2008-10-07,26600.0
2008-10-08,26600.0
2008-10-09,26600.0
2008-10-10,26600.0
2008-10-13,26600.0
2008-10-14,26600.0
2008-10-15,26600.0
2008-10-16,26600.0
2008-10-17,26600.0
2008-10-20,26600.0
2008-10-21,26600.0
2008-10-22,26600.0
2008-10-23,26600.0
2008-10-24,26600.0
2008-10-27,26600.0
2008-10-28,26600.0
2008-10-29,26600.0
2008-10-30,26600.0
2008-10-31,26600.0
2008-11-03,26600.0
