datetime,open,high,low,close,volume
2007/11/14 11:00:00,21500,21535,21475,21520,7672
2007/11/14 11:30:00,21525,21525,21405,21470,15778
2007/11/14 14:00:00,21515,21610,21475,21590,30500
2007/11/14 14:30:00,21595,21670,21565,21585,21874
2007/11/14 15:00:00,21585,21625,21565,21610,18968
2007/11/15 9:30:00,21610,21830,21610,21735,27222
2007/11/15 10:00:00,21720,21765,21650,21680,16686
2007/11/15 10:15:00,21680,21700,21595,21600,8168
2007/11/15 11:00:00,21595,21635,21525,21580,18194
2007/11/15 11:30:00,21580,21580,21425,21470,23336
2007/11/15 14:00:00,21250,21350,20945,20965,64266
2007/11/15 14:30:00,20960,20965,20705,20935,35794
2007/11/15 15:00:00,20935,21030,20860,20910,34070
2007/11/16 9:30:00,20880,20880,20550,20730,39214
2007/11/16 10:00:00,20720,20850,20680,20835,31606
2007/11/16 10:15:00,20835,20915,20820,20845,9904
2007/11/16 11:00:00,20845,20845,20600,20670,27484
2007/11/16 11:30:00,20655,20680,20500,20560,22162
2007/11/16 14:00:00,20470,20695,20450,20690,25972
2007/11/16 14:30:00,20690,20815,20660,20760,19198
2007/11/16 15:00:00,20755,20950,20680,20910,22836
2007/11/19 9:30:00,21000,21000,20620,20795,18828
2007/11/19 10:00:00,20795,20900,20770,20845,9812
2007/11/19 10:15:00,20855,20865,20770,20835,4198
2007/11/19 11:00:00,20835,20865,20705,20725,8268
2007/11/19 11:30:00,20730,20785,20680,20680,7556
2007/11/19 14:00:00,20500,20730,20500,20665,14628
2007/11/19 14:30:00,20665,20750,20660,20725,5800
2007/11/19 15:00:00,20730,20730,20625,20715,10226
2007/11/20 9:30:00,20515,20515,20000,20080,20822
2007/11/20 10:00:00,20080,20090,20040,20080,5508
2007/11/20 10:15:00,20080,20170,20075,20145,3368
2007/11/20 11:00:00,20145,20250,20125,20190,7218
2007/11/20 11:30:00,20195,20200,20125,20190,5412
2007/11/20 14:00:00,20415,20675,20415,20575,16232
2007/11/20 14:30:00,20580,20600,20500,20590,6318
2007/11/20 15:00:00,20595,20840,20585,20795,15126
2007/11/21 9:30:00,20965,20965,20595,20750,8640
2007/11/21 10:00:00,20755,20930,20735,20800,6708
2007/11/21 10:15:00,20790,20830,20720,20820,1806
2007/11/21 11:00:00,20830,20855,20740,20815,2212
2007/11/21 11:30:00,20815,20900,20790,20830,3838
2007/11/21 14:00:00,20750,20750,20515,20620,7170
2007/11/21 14:30:00,20620,20710,20550,20660,2574
2007/11/21 15:00:00,20660,20660,20530,20605,3330
2007/11/22 9:30:00,20510,20810,20300,20690,5136
2007/11/22 10:00:00,20690,20960,20680,20950,4834
2007/11/22 10:15:00,20950,21195,20930,21035,2824
2007/11/22 11:00:00,21035,21170,20900,20950,4368
