datetime,open,high,low,close,volume
2008/11/5 11:00:00,14130,14140,14075,14115,11940
2008/11/5 11:30:00,14120,14130,14040,14115,20318
2008/11/5 14:00:00,13950,14010,13915,13985,40120
2008/11/5 14:30:00,13990,14085,13975,14085,23240
2008/11/5 15:00:00,14090,14150,13930,13950,51796
2008/11/6 9:30:00,13495,13560,13495,13505,40042
2008/11/6 10:00:00,13505,13615,13500,13575,30262
2008/11/6 10:15:00,13580,13675,13560,13640,12126
2008/11/6 11:00:00,13635,13660,13560,13590,23040
2008/11/6 11:30:00,13595,13625,13560,13570,17162
2008/11/6 14:00:00,13570,13615,13495,13545,21176
2008/11/6 14:30:00,13545,13550,13495,13495,8506
2008/11/6 15:00:00,13495,13495,13495,13495,1676
2008/11/7 9:30:00,13070,13245,13070,13210,60840
2008/11/7 10:00:00,13210,13265,13200,13240,37502
2008/11/7 10:15:00,13240,13255,13215,13220,8416
2008/11/7 11:00:00,13245,13510,13245,13415,48156
2008/11/7 11:30:00,13410,13565,13385,13550,46838
2008/11/7 14:00:00,13545,13560,13445,13500,37448
2008/11/7 14:30:00,13495,13600,13490,13585,26532
2008/11/7 15:00:00,13585,13670,13500,13640,42348
2008/11/10 9:30:00,13870,13870,13700,13815,25942
2008/11/10 10:00:00,13825,13870,13800,13845,11016
2008/11/10 10:15:00,13845,13870,13840,13870,6614
2008/11/10 11:00:00,13870,13870,13850,13870,6700
2008/11/10 11:30:00,13870,13870,13790,13800,10896
2008/11/10 14:00:00,13790,13830,13690,13775,25672
2008/11/10 14:30:00,13775,13870,13750,13870,13448
2008/11/10 15:00:00,13870,13870,13865,13870,5646
2008/11/11 9:30:00,13610,13660,13510,13580,72300
2008/11/11 10:00:00,13585,13635,13470,13545,48740
2008/11/11 10:15:00,13545,13545,13350,13440,38806
2008/11/11 11:00:00,13440,13555,13430,13530,38378
2008/11/11 11:30:00,13535,13585,13420,13435,32172
2008/11/11 14:00:00,13490,13490,13190,13200,68290
2008/11/11 14:30:00,13205,13280,13000,13040,42842
2008/11/11 15:00:00,13050,13220,13045,13190,59570
2008/11/12 9:30:00,13000,13480,13000,13405,93720
2008/11/12 10:00:00,13405,13520,13360,13475,64330
2008/11/12 10:15:00,13475,13535,13420,13425,28076
2008/11/12 11:00:00,13440,13460,13185,13290,78940
2008/11/12 11:30:00,13285,13295,13005,13030,69072
