datetime,open,high,low,close,volume
2008/1/22 9:30:00,23650,23805,23500,23805,10
2008/1/22 10:00:00,23805,23805,23700,23760,12
2008/1/22 10:15:00,23665,23680,23650,23650,10
2008/1/22 11:00:00,23650,23680,23630,23630,22
2008/1/22 11:30:00,23630,23630,23585,23620,106
2008/1/22 14:00:00,23600,23600,23415,23415,52
2008/1/22 14:30:00,23415,23415,23415,23415,0
2008/1/22 15:00:00,23415,23415,23415,23415,2
2008/1/23 9:30:00,23400,23895,23335,23850,42
2008/1/23 10:00:00,23820,23850,23755,23830,22
2008/1/23 10:15:00,23830,23830,23785,23800,24
2008/1/23 11:00:00,23800,23800,23700,23700,40
2008/1/23 11:30:00,23700,23700,23355,23370,136
2008/1/23 14:00:00,23340,23610,23340,23605,38
2008/1/23 14:30:00,23605,23760,23605,23635,6
2008/1/23 15:00:00,23650,23695,23615,23670,26
2008/1/24 9:30:00,23750,23750,23520,23520,14
2008/1/24 10:00:00,23520,23615,23520,23550,16
2008/1/24 10:15:00,23600,23820,23600,23700,12
2008/1/24 11:00:00,23700,23700,23630,23680,8
2008/1/24 11:30:00,23680,23755,23680,23740,32
2008/1/24 14:00:00,23760,23850,23760,23850,42
2008/1/24 14:30:00,23850,23850,23625,23745,14
2008/1/24 15:00:00,23730,23815,23710,23735,14
2008/1/25 9:30:00,23700,24000,23700,24000,32
2008/1/25 10:00:00,24000,24010,23955,23990,10
2008/1/25 10:15:00,23990,23990,23990,23990,0
2008/1/25 11:00:00,24010,24030,24000,24010,24
2008/1/25 11:30:00,24050,24070,24030,24030,12
2008/1/25 14:00:00,24030,24145,24030,24145,18
2008/1/25 14:30:00,24145,24200,24145,24145,22
2008/1/25 15:00:00,24145,24150,24090,24125,14
2008/1/28 9:30:00,24115,24115,24030,24030,6
2008/1/28 10:00:00,24030,24030,23855,23855,10
2008/1/28 10:15:00,23950,24045,23920,23920,6
2008/1/28 11:00:00,23940,24035,23940,23960,34
2008/1/28 11:30:00,23960,23960,23950,23950,6
2008/1/28 14:00:00,23810,23830,23770,23830,32
2008/1/28 14:30:00,23840,23840,23825,23825,4
2008/1/28 15:00:00,23825,23915,23785,23850,20
2008/1/29 9:30:00,24050,24100,24050,24100,8
2008/1/29 10:00:00,24135,24135,24090,24090,12
2008/1/29 10:15:00,24045,24045,24045,24045,2
2008/1/29 11:00:00,24045,24080,24045,24080,6
